2026-06-24 15:18:33,739 | INFO | 🔚 TRADE CLOSED (trend reversed to DOWN): position_id=416 (total trades completed: 416)
2026-06-24 15:18:34,319 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 89","parameters":{"retry_after":89}}
2026-06-24 15:18:34,386 | INFO | Attempting to open SELL trade: volume=0.808 lots, risk target=1.0% of $1000.00, stop_distance=1.5446%
2026-06-24 15:18:34,387 | INFO | ✅ TRADE OPENED: SELL position_id=417 volume=0.808 entry≈800.85
2026-06-24 15:18:34,811 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 88","parameters":{"retry_after":88}}
2026-06-24 15:18:34,862 | INFO | Position 417: breakeven reached after 2 favorable candles -- stop moved to entry price 800.85, Stage 3 trailing active.
2026-06-24 15:18:34,894 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=417 (total trades completed: 417)
2026-06-24 15:18:35,447 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 88","parameters":{"retry_after":88}}
2026-06-24 15:18:35,677 | INFO | Attempting to open SELL trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.4581%
2026-06-24 15:18:35,677 | INFO | ✅ TRADE OPENED: SELL position_id=418 volume=2.0 entry≈799.01
2026-06-24 15:18:36,239 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 87","parameters":{"retry_after":87}}
2026-06-24 15:18:36,261 | INFO | Position 418: breakeven reached after 2 favorable candles -- stop moved to entry price 799.01, Stage 3 trailing active.
2026-06-24 15:18:36,289 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=418 (total trades completed: 418)
2026-06-24 15:18:36,864 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 86","parameters":{"retry_after":86}}
2026-06-24 15:18:37,740 | INFO | Attempting to open SELL trade: volume=0.842 lots, risk target=1.0% of $1000.00, stop_distance=1.5279%
2026-06-24 15:18:37,740 | INFO | ✅ TRADE OPENED: SELL position_id=419 volume=0.842 entry≈776.88
2026-06-24 15:18:38,300 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 85","parameters":{"retry_after":85}}
2026-06-24 15:18:38,359 | INFO | 🔚 TRADE CLOSED (initial or breakeven stop hit): position_id=419 (total trades completed: 419)
2026-06-24 15:18:39,008 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 84","parameters":{"retry_after":84}}
2026-06-24 15:18:39,288 | INFO | Attempting to open SELL trade: volume=1.858 lots, risk target=1.0% of $1000.00, stop_distance=0.6923%
2026-06-24 15:18:39,288 | INFO | ✅ TRADE OPENED: SELL position_id=420 volume=1.858 entry≈777.09
2026-06-24 15:18:39,767 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 84","parameters":{"retry_after":84}}
2026-06-24 15:18:39,789 | INFO | Position 420: breakeven reached after 2 favorable candles -- stop moved to entry price 777.09, Stage 3 trailing active.
2026-06-24 15:18:39,808 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=420 (total trades completed: 420)
2026-06-24 15:18:40,225 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 83","parameters":{"retry_after":83}}
2026-06-24 15:18:40,752 | INFO | Attempting to open BUY trade: volume=0.656 lots, risk target=1.0% of $1000.00, stop_distance=1.9102%
2026-06-24 15:18:40,753 | INFO | ✅ TRADE OPENED: BUY position_id=421 volume=0.656 entry≈797.83
2026-06-24 15:18:41,326 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 82","parameters":{"retry_after":82}}
2026-06-24 15:18:41,348 | INFO | Position 421: breakeven reached after 2 favorable candles -- stop moved to entry price 797.83, Stage 3 trailing active.
2026-06-24 15:18:41,357 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=421 (total trades completed: 421)
2026-06-24 15:18:41,922 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 81","parameters":{"retry_after":81}}
2026-06-24 15:18:42,119 | INFO | Attempting to open BUY trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.6208%
2026-06-24 15:18:42,119 | INFO | ✅ TRADE OPENED: BUY position_id=422 volume=2.0 entry≈790.88
2026-06-24 15:18:42,664 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 81","parameters":{"retry_after":81}}
2026-06-24 15:18:42,683 | INFO | Position 422: breakeven reached after 2 favorable candles -- stop moved to entry price 790.88, Stage 3 trailing active.
2026-06-24 15:18:42,691 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=422 (total trades completed: 422)
2026-06-24 15:18:43,237 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 80","parameters":{"retry_after":80}}
2026-06-24 15:18:43,418 | INFO | Attempting to open SELL trade: volume=0.772 lots, risk target=1.0% of $1000.00, stop_distance=1.6626%
2026-06-24 15:18:43,418 | INFO | ✅ TRADE OPENED: SELL position_id=423 volume=0.772 entry≈778.30
2026-06-24 15:18:43,846 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 79","parameters":{"retry_after":79}}
2026-06-24 15:18:43,922 | INFO | Position 423: breakeven reached after 2 favorable candles -- stop moved to entry price 778.30, Stage 3 trailing active.
2026-06-24 15:18:43,932 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=423 (total trades completed: 423)
2026-06-24 15:18:44,403 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 79","parameters":{"retry_after":79}}
2026-06-24 15:18:44,704 | INFO | Attempting to open SELL trade: volume=0.734 lots, risk target=1.0% of $1000.00, stop_distance=1.7538%
2026-06-24 15:18:44,704 | INFO | ✅ TRADE OPENED: SELL position_id=424 volume=0.734 entry≈776.59
2026-06-24 15:18:45,324 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 78","parameters":{"retry_after":78}}
2026-06-24 15:18:45,343 | INFO | Position 424: breakeven reached after 2 favorable candles -- stop moved to entry price 776.59, Stage 3 trailing active.
2026-06-24 15:18:45,455 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=424 (total trades completed: 424)
2026-06-24 15:18:46,070 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 77","parameters":{"retry_after":77}}
2026-06-24 15:18:46,355 | INFO | Attempting to open BUY trade: volume=0.432 lots, risk target=1.0% of $1000.00, stop_distance=2.9650%
2026-06-24 15:18:46,355 | INFO | ✅ TRADE OPENED: BUY position_id=425 volume=0.432 entry≈779.77
